torch-version,cuda-version,cudnn-version,model-arch,optimize,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,bnb,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),model-flops-total,model-flops-addmm,model-flops-conv,model-flops-batch_norm,model-flops-layer_norm,model-flops-linear,model-flops-matmul,model-flops-adaptive_avg_pool2d,container-src
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,True,float16,False,False,False,False,False,None,False,False,11689512,366,3798,0.421,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,True,False,False,True,False,None,False,False,11689512,157,1268,0.872,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,True,False,False,False,False,None,False,False,11689512,163,1326,0.872,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,False,False,False,True,True,None,False,False,11689512,2290,2419,0.407,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,False,False,False,True,False,None,False,False,11689512,131,2067,0.595,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,False,False,False,False,True,None,False,False,11689512,4047,2261,0.407,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float32,False,False,False,False,False,None,False,False,11689512,147,1922,0.595,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float16,True,False,False,True,False,None,False,False,11689512,162,4416,0.398,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float16,True,False,False,False,False,None,False,False,11689512,160,4354,0.398,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
1.14.0,12.0,8.700,resnet18,False,64,256,256,65536,25,True,False,False,float16,False,False,False,True,True,None,False,False,11689512,2743,4296,0.251,152671879168,0,151598923776,1038090240,0,32768000,0,2097152,ngc
